id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
860339,Single Room with Pleanty of Storage,4507331,Deirdre,,Dublin City,53.38540615839489,-6.216921657669971,Private room,30,1,94,2018-10-01,1.87,2,356
870350,Fabulous Malahide Marina Apartment,4586782,Sheelagh,,Fingal,53.4522866116646,-6.153865694830497,Entire home/apt,90,7,36,2018-05-09,0.58,2,217
871174,Large room max 3 beds adjacent bathroom& Wfi,4592908,Louise,,Dublin City,53.367772071578074,-6.208099143028348,Private room,26,2,146,2018-10-12,2.14,3,325
872539,Contemporary Victorian cottage,4603565,Aida,,Dublin City,53.35798912262445,-6.239905989401792,Entire home/apt,200,3,78,2018-09-23,1.14,1,341
884599,"Peace break, b-fast, near airport",4686027,Sandra,,Dublin City,53.40004004656767,-6.1807206687772185,Private room,50,1,104,2018-09-13,1.53,2,107
898411,"The heart of Temple Bar, Dublin (b)",2811286,Dave,,Dublin City,53.34291398155014,-6.272738498986687,Private room,75,4,186,2018-08-12,2.75,2,6
899921,Dublin City Suburb - Double Room 1,4380424,Jack & Audrey,,Dublin City,53.3681606497561,-6.263445062067395,Private room,90,2,31,2016-01-02,0.48,5,136
901088,Dublin City Suburb - Triple Room,4380424,Jack & Audrey,,Dublin City,53.36734032365151,-6.263871047632536,Private room,150,2,48,2015-12-01,0.90,5,190
922425,Perfect Location City Centre House,1607393,Daragh,,Dublin City,53.342478436909865,-6.272403941932121,Entire home/apt,166,2,95,2018-08-16,1.41,3,66
928970,Self Catering Barge 'Scéal Eile',5001093,Trish,,Dublin City,53.34245832322594,-6.239095609826658,Entire home/apt,130,3,22,2018-09-12,0.35,2,331
929816,"Luxury Room,Grand Canal,City Center",4985632,Ashton,,Dublin City,53.34300177615293,-6.240732191062848,Private room,75,2,132,2018-10-14,1.94,2,16
936063,"Dublin Airport, We'll pick you up!",5051470,Des & Sinead,,Fingal,53.44102154061889,-6.203617956232488,Private room,40,1,367,2018-10-07,5.40,4,135
937977,"Dublin Airport, We'll pick you up!",5051470,Des & Sinead,,Fingal,53.4432128125596,-6.202086811855024,Private room,40,1,159,2018-09-26,2.34,4,346
939866,"Designer Apt,GrandCanal,City Center",4985632,Ashton,,Dublin City,53.34370168151218,-6.239754363742871,Entire home/apt,170,2,125,2018-08-27,1.83,2,9
990212,"4 bed house, Inchicore, Dublin 8 on Red LUAS line.",5437323,Aoife,,Dublin City,53.33634719514413,-6.313697606148297,Entire home/apt,165,7,33,2017-08-05,0.83,1,133
990300,**Superhost Home Near City**,5438017,Melanie,,Dublin City,53.313266232925606,-6.2528010983414415,Private room,65,1,205,2018-02-25,3.02,1,0
998407,self contained near city & airport (min 2 people),1245198,Amanda,,Dublin City,53.39728538289231,-6.175208684544822,Entire home/apt,25,3,124,2018-10-12,2.59,2,121
999963,Ten-shui Meatman's Quarter,5497230,Sarah And Johnny,,Dublin City,53.36181067727419,-6.274754354194902,Entire home/apt,415,7,10,2017-08-16,0.20,1,108
1017861,Double Room with Private Bathroom,5601956,Rob And Stef,,Dublin City,53.37895613003421,-6.3276421705037835,Private room,46,3,81,2018-08-25,1.30,1,0
1022945,Charming Double Bedroom,5631461,D,,Fingal,53.39390647579686,-6.128948041920202,Private room,70,1,13,2015-03-21,0.20,1,363
1038030,Clair De Luan 1 double 1 single,5714470,Stella,,Dublin City,53.3885096803215,-6.281451666327477,Private room,49,1,8,2017-12-20,0.13,1,288
1053524,Lovely apartment in Christchurch,5299294,Svetlana,,Dublin City,53.34169436043675,-6.2749487843634775,Entire home/apt,105,2,354,2018-10-01,5.94,1,51
1053992,The Orchid House On The Canal,5089844,Tommaso,,Dublin City,53.34110226533446,-6.23548693181339,Entire home/apt,140,3,6,2018-09-23,0.98,5,160
1064692,Unique City Centre Location,5859508,Sean,,Dublin City,53.33907005272869,-6.2494472824278064,Private room,53,3,81,2018-07-16,1.22,1,186
1073487,Open Plan Dublin/UCD Adjacent Home,5905039,Jane,,Dn Laoghaire-Rathdown,53.30296257439517,-6.240629160652107,Private room,45,1,40,2018-10-07,0.61,1,346
1076514,Apartment beside Trinity college,4435361,Georgia & Gar,,Dublin City,53.34652210039738,-6.246967113970527,Entire home/apt,120,3,142,2018-09-09,2.16,1,201
1076634,"Lovely Hse, Kimmage D6W, nr centre",823405,Declan,,Dublin City,53.315988517248016,-6.3112872775110995,Private room,49,5,46,2018-08-27,0.73,1,348
1086416,"Cosy, self-contained, 1-bed flat.",5971713,Eileen,,Dublin City,53.35786696560528,-6.274972896883072,Entire home/apt,100,2,183,2018-10-09,2.78,1,44
1102379,Dock Mill in the Grand Canal Basin,205636,Marie-Louise,,Dublin City,53.34011920560082,-6.236327464735487,Entire home/apt,105,3,170,2018-10-05,2.64,1,110
1131404,City Centre with Stunning View,6206885,Mauro,,Dublin City,53.35030945867235,-6.249018022601372,Entire home/apt,120,4,41,2018-07-29,0.68,1,14
1145057,Arty cottage near Dalkey,2223948,Camille,,Dn Laoghaire-Rathdown,53.278825384850116,-6.138201939271857,Private room,50,2,38,2018-09-08,0.58,1,265
